Restaurant Name,Location,Foods,Keywords,Comments,,,,,,,,,,,,,,,
Palmyrah Restaurant,"6.911921541358405, 79.85039971705802",Hoppers,"Hoppers,  Hoppers, hoppers",Their Hoppers were excellent.. it makes my mouth water just thinking of the food.,,,,,,,,,,,,,,,
Palmyrah Restaurant,"6.911921541358405, 79.85039971705802",Odiyal Kool,"Odiyal Kool,  Odiyal, Kool","This is not a odiyal kool tests , it s tastes like a sweet sauce, sugar, very disappointed ",,,,,,,,,,,,,,,
Palmyrah Restaurant,"6.911921541358405, 79.85039971705802",Garlic Curry,"Garlic Curry,  Garlic, Curry, curi, galic, gaalic",There garlic curry was NOT what I expected so water and tasteless.,,,,,,,,,,,,,,,
Palmyrah Restaurant,"6.911921541358405, 79.85039971705802",Hoppers,"Hoppers,  Hoppers, hoppers",Used to be the place I went for good hoppers and quality Jafna food. The hoppers were cold and made with some grainy batter.,,,,,,,,,,,,,,,
Palmyrah Restaurant,"6.911921541358405, 79.85039971705802",Fried Fish Pittu,"Fried Fish Pittu,  Fried, Pittu","We ordered only a modest meal but the star was undoubtedly the fried fish puttu, which was very finely made and delicious",,,,,,,,,,,,,,,
The Gallery Caf ,"6.902522734983257, 79.8553875017821",Garlic Shrimp,"galic, Garlic, garlic shrimp, shripm, Shrimp,Garlic Shrimp","Definitely get the garlic shrimp, we ordered it multiple times",,,,,,,,,,,,,,,
The Gallery Caf ,"6.902522734983257, 79.8553875017821",French Fries,"fries, french, french frys, french fries, frys","My first bite was the fries and immediately I knew that these were amongst the best fries I have ever had. Really. The perfect thickness, carefully fried, lightly salted and with a rich flavor (and aroma) of potato",,,,,,,,,,,,,,,
The Gallery Caf ,"6.902522734983257, 79.8553875017821",Spaghetti Bolognese,"spaghetti bolognese, spaghetti, Spaghetti spaghetti, spaghetti bolognese, spagati, spaggati",My only critique would be that the spaghetti bolognese didn't quite meet my expectations.,,,,,,,,,,,,,,,
The Gallery Caf ,"6.902522734983257, 79.8553875017821",Lemon Meringue Pie,"meringue pie, meringue, Lemon meringue, lemon meringue pie",The real downer was the lemon meringue pie. The meringue had this egg taste which is intrusive and really makes it hard to enjoy the slice. Stomachiing it was difficult.,,,,,,,,,,,,,,,
The Gallery Caf ,"6.902522734983257, 79.8553875017821",Pineapple Margarita,"pineapple margarita, pineapple, Pineapple pineapple, pineapple margarita","We really didn t enjoy the pineapple margarita, it was a thick frozen slushy with a strange flavour, rather than a crisp classic margatita. ",,,,,,,,,,,,,,,
Nara Thai,"6.909583442982199, 79.85239137386004",Tom Yum soup,"tom soup, tom yum soup, yum soup, soup",I would recommend you to start off with the Tom Yum soup a good first impression to stay off with! ,,,,,,,,,,,,,,,
Nara Thai,"6.909583442982199, 79.85239137386004",Papaya Salad,"papaya Salad, papaya salad, papaya Salad, Salad","Papaya salad was tasty,they could have had some more tomatoes & peanuts to really make it pop. The chefs made it a perfect level of spicy ness which l appreciate.",,,,,,,,,,,,,,,
Nara Thai,"6.909583442982199, 79.85239137386004",Vegetarian soup,"vegetarian soup, vegetarian soup, vegetarian soup, soup",The tofu pieces were huge and weren't presented well. It seemed as if they didn't care for the presentation of the food. All dishes lacked authentic flavors. ,,,,,,,,,,,,,,,
Nara Thai,"6.909583442982199, 79.85239137386004",Fried Rice,"fried Rice, fried rice, fried Rice, Rice, ",The shared fried rice was well worth the money ,,,,,,,,,,,,,,,
Nara Thai,"6.909583442982199, 79.85239137386004",Chicken Satay,"chicken Satay, chicken satay, chicken Satay, Satay",The chicken satay was so yummy and the food overall was delicious.,,,,,,,,,,,,,,,
Nara Thai,"6.909583442982199, 79.85239137386004",Chicken Fried Rice,"chicken Rice, chicken fried rice, fried Rice, Rice",The chicken fried rice was very flavorful and the chicken was cooked perfectly.,,,,,,,,,,,,,,,
Nara Thai,"6.909583442982199, 79.85239137386004",Butterfly Pea Drink,"butterfly Drink, butterfly pea drink, pea Drink, Drink",The butterfly pea drink was not only visually stunning but also incredibly refreshing.,,,,,,,,,,,,,,,
Nara Thai,"6.909583442982199, 79.85239137386004",Herbal Blue Fried Rice,"herbal Rice, herbal blue fried rice, fried Rice, Rice",The herbal blue fried rice was unique and flavorful. ,,,,,,,,,,,,,,,
Nara Thai,"6.909583442982199, 79.85239137386004",Mixed Fruit Juice,"mixed Juice, mixed fruit juice, fruit Juice, Juice",That was the worst ever for a restaurant of this tier. Do not order the juices. Just water will do fine as all the juices taste the same as water. Was very disappointed with this.,,,,,,,,,,,,,,,
Paan Paan - Havelock Road,"6.898914955562731, 79.86055503977914",Chicken Chapati Wrap,"Chicken Chapati Wrap, chapathi, chapathi wrap",These guys have wrapped the chicken chapati wrap in a soft paper where it has been smudged due to heavy rain. If u can't do proper packaging please do not do delivery during rain. ,,,,,,,,,,,,,,,
Paan Paan - Havelock Road,"6.898914955562731, 79.86055503977914",Submarine,"Submarine, sabmarine ",Today I ordered a submarine from Paan Paan and I am impressed with the quality and the taste.,,,,,,,,,,,,,,,
Paan Paan - Havelock Road,"6.898914955562731, 79.86055503977914",Submarine,"Submarine, sabmarine ","My meal was a submarine with grilled vegetables and feta cheese. The feta was invisible! Absolutely no feta cheese! If you can't supply the customer with the specified order,  then notify them or cancel. Very disappointing.",,,,,,,,,,,,,,,
Paan Paan - Havelock Road,"6.898914955562731, 79.86055503977914",Submarine,"Submarine, sabmarine ",it s good for drunken person ..hot and spicy means a lot for the word..also no chicken at all....chicken crushed and cut in to pieces and not visible or cannot taste ..Just simply waste of money ..,,,,,,,,,,,,,,,
Paan Paan - Havelock Road,"6.898914955562731, 79.86055503977914",Submarine,"Submarine, sabmarine ","Love their sandwiches, specially the smoked beef. ",,,,,,,,,,,,,,,
Paan Paan - Havelock Road,"6.898914955562731, 79.86055503977914",Submarine,"Submarine, sabmarine ",The submarines got too many seeds on the bread many avoid the brown bread.I'm not satisfied with that submarine.,,,,,,,,,,,,,,,
Paan Paan - Havelock Road,"6.898914955562731, 79.86055503977914",Sandwiches,"Sandwiches, sanwich, sandwiches","Ordered some sandwiches from this cafe, they were good. They included a variety of flavours.",,,,,,,,,,,,,,,
Paan Paan - Havelock Road,"6.898914955562731, 79.86055503977914",BBQ Chicken Sandwich,BBQ Chicken Sandwich,"Ordered a BBQ Chicken sandwich from paan paan, the taste and the quality is just awesome. The packaging is also good.",,,,,,,,,,,,,,,
Paan Paan - Havelock Road,"6.898914955562731, 79.86055503977914",Fish Cutlets,"Fish Cutlets, Cutlets","The cutlet filling is full of potatoes,  I don't see any fish taste while eating",,,,,,,,,,,,,,,
Paan Paan - Havelock Road,"6.898914955562731, 79.86055503977914",BBQ Submarine,"BBQ Submarine, BBQ, sabmarine",Their BBQ submarine is my personal favorite.It's super tasty and the flavors are just amazing.,,,,,,,,,,,,,,,
Paan Paan - Havelock Road,"6.898914955562731, 79.86055503977914",Sandwiches,"Sandwiches, sanwich, sandwiches",The sandwich was made fresh to order. I would definitely recommend Paan Paan to anyone looking for delicious and satisfying sandwiches in the area.,,,,,,,,,,,,,,,
Paan Paan - Havelock Road,"6.898914955562731, 79.86055503977914",Cinnamon Roll,Cinnamon Roll,The worst was the Cinnamon Roll. Never try them out. Needs lot of improvement on food.,,,,,,,,,,,,,,,
The London Grill,"6.92149913246634, 79.84870918616843",Tasmania Salmon,"Tasmania Salmon, Salmon, Samon, Samen","All these 5 - 6 years, I stick with the Tasmania Salmon, don t know how they do that! The taste didn t change at all, so good!",,,,,,,,,,,,,,,
The London Grill,"6.92149913246634, 79.84870918616843",Steak,"Steak,steak",The quality of the meat was not great.The steak also had no crust and was not cooked in enough fat.,,,,,,,,,,,,,,,
The London Grill,"6.92149913246634, 79.84870918616843",Chicken Mouse,"Chicken Mouse,chicken mouse",The chicken mouse was tasteless.So dissapointed with that.,,,,,,,,,,,,,,,
The London Grill,"6.92149913246634, 79.84870918616843",Rib Eye Steak,"Rib Eye Steak,rib eye steak, rib",Best steak in town. Ordered a medium rare rib eye steak and it was delicious,,,,,,,,,,,,,,,
The London Grill,"6.92149913246634, 79.84870918616843",Bush Lamb,"Bush Lamb,bush lamb, bush",The Bush Lamb is not worth the price. The portion was too small for the price charged for it.,,,,,,,,,,,,,,,
The London Grill,"6.92149913246634, 79.84870918616843",Steak,"Steak,steak",It is difficult to find a good steak in Colombo and this is one of the best ones.It's so yummy.,,,,,,,,,,,,,,,
The London Grill,"6.92149913246634, 79.84870918616843",Steak,"Steak,steak"," I don't know if it was because the seasoning was strong or if it was the pepper sauce itself, but it was a bit too salty to eat.",,,,,,,,,,,,,,,
